Monthly taxable cannabis sales,,,,,,,
"Notes: 
1.) Sales are reported by tax filing period, which does not always correspond with the month in which the sales occurred.
2.) Tax liability is the total tax owed for sales reported in each period, which corresponds roughly but not exactly to sales tax revenue in the following month.
3.) Sales in this report are also included within the totals reported in other taxable sales reports.",,,,,,,
,,Medical,,Adult use,,,
Year,Month,Taxable sales,Sales tax liability,Taxable sales,Sales tax liability,Sales tax revenue,Excise tax revenue
2019,1,4217955.63,239356.2319,,,,
2019,2,4352196.99,246514.36195,,,,
2019,3,13826790.51,774779.25905,,,,
2019,4,5509735.16,311896.9263,,,,
2019,5,6371736.88,359575.6634,,,,
2019,6,19836002.3,1114563.073,,,,
2019,7,7931098.84,447843.32495,,,,
2019,8,8591320.88,484242.63615,,,,
2019,9,22161261.98,1244112.65615,,,,
2019,10,8148019.33,461657.96865,,,,
2019,11,8073357.59,456703.0402,,,,
2019,12,27198590.67,1529752.2636,,,,
2020,1,10887799.71,616667.26405,,,,
2020,2,11939485.38,676744.93515,,,,
2020,3,23658906.63,1330016.37515,,,,
2020,4,16004065.82,903631.1121,,,,
2020,5,19436199.74,1094204.3767,,,,
2020,6,35342514.41,1988702.8413,,,,
2020,7,23825999.4,1340180.46325,,,,
2020,8,23979476.01,1351317.04405,,,,
2020,9,39730677.48,2232228.66815,,,,
2020,10,22825382.61,1290541.2873,980680.4,98068.04,,238027.57
2020,11,20541057.42,1159613.9436,1206194.69,120619.469,102213.04,526834.22
2020,12,42927734.85,2415019.3345,2165104,216510.4,113616.86,176186.26
2021,1,25856593.52,1462454.41535,2406557.75,240655.775,205903.03,176957.92
2021,2,23750428.55,1343249.7875,2634147.3,263414.73,250396.93,279674.28
2021,3,39849276.5,2246307.662,3871606.21,387160.621,263499.06,185935.75
2021,4,29886672.02,1691578.5911,4161952.95,416195.295,386408.25,238262.58
2021,5,28059206.49,1587115.2782,5028287.63,502828.763,441759.54,395257.72
2021,6,40174936.08,2263383.61565,6732784.08,673278.408,503349.89,418128.03
2021,7,29134027.7,1648427.37275,8975394.94,897539.494,657992.74,454076.4
2021,8,28275700.2,1604757.10225,9700741.97,970074.197,891965.2,410550.21
2021,9,38084718.63,2154253.46765,10659288.44,1065928.844,954676,454516
2021,10,24680385.74,1403749.77095,9335140.4,933514.04,1052698,545530
2021,11,22456573.3,1277267.852,8235058.49,823505.849,955220.71,626688.54
2021,12,42040525.41,2381238.3443,10466087.49,1046608.749,818975.74,794197.58
2022,1,22501082.03,1278630.6149,9006101.46,900610.146,1055181,370766
2022,2,22334314.14,1269254.68795,9248338.7,924833.87,843316,648273
2022,3,32751559.67,1861773.34085,10873999.31,1087399.931,975902,501081
2022,4,24586907.45,1398838.24475,11183166.9,1118316.69,1078377.08,492807.32
2022,5,22313641.6,1272569.63,11738275.37,1173827.537,1137280.41,802453.24
2022,6,33991014.85,1930269.80425,13904635.98,1390463.598,1165369.21,475670.31
2022,7,23987887.95,1369014.44075,16304087.77,1630408.777,1385466.15,1166503.63
2022,8,23200076.49,1323227.16995,16685956.63,1668595.663,1683508.19,897044.4
2022,9,31297762.1,1779871.9655,16878084.38,1687808.438,1695712.76,1130603.95
2022,10,20817234.12,1192133.41585,15047341.6,1504734.16,1650209.67,1142903.42
2022,11,19502151.04,1118058.54645,13637472.5,1363747.25,1483439.29,1253965.44
2022,12,31366410.06,1789361.9153,16246032.89,1624603.289,1289440.54,1004261.6
2023,1,18951084.1,1083252.9705,13920056.69,1392005.669,1596052.62,1048910.82
2023,2,19255049.42,1101557.56485,14059992.21,1405999.221,1366662.37,1063367.2
2023,3,30890811.59,1764121.1592,17846768.95,1784676.895,1212637.18,1017939.08
2023,4,20729636.84,1185387.5262,15778268.19,1577826.819,1828335.82,961070.11
2023,5,20225973.61,1155046.66755,16569512.83,1656951.283,1714127.49,1567970.63
2023,6,31282345.38,1781351.00015,20331161.85,2033116.185,1590571.62,1191861.02
2023,7,20756541.85,1186649.39575,20128280.07,2012828.007,2030275.02,1173307.45
2023,8,21524798.42,1231642.79935,20534032.1,2053403.21,2014692.4,1229294.73
2023,9,30485364.64,1736500.3382,23008981.31,2300898.131,1949255.71,1534814.66
2023,10,18886077.23,1081289.0219,17603906.27,1760390.627,2219940.5,1208176.67
2023,11,18234113.52,1043183.1121,16274541.59,1627454.159,1759711.2,1492765.31
2023,12,31688854.1,1809187.3825,22492274.39,2249227.439,1576605.22,1245001.7
2024,1,17884355.29,1022438.0127,16107149.32,1610714.932,2096624.04,1183185.35
2024,2,18202361.88,1039260.0104,16428209.5,1642820.95,1638496.34,1502834.26
2024,3,29881444.61,1702784.29105,22307263.95,2230726.395,1621653.26,1202502.04
2024,4,18851512.94,1077235.5042,17666753.48,1766675.348,2084648.86,1250410.55
2024,5,18737785.91,1069674.04205,18509969.64,1850996.964,1788017.52,1740799.08
2024,6,31142513.32,1772412.6421,24087585.83,2408758.583,1764632.22,1385332.27
2024,7,18797037.47,1071587.05285,21081082.61,2108108.261,2224378.57,1459424.63
2024,8,19594472.66,1116487.77355,22064027.48,2206402.748,2181788.09,1549706.25
2024,9,29457389.76,1676424.10505,24710387.78,2471038.778,2264504.8,1867432.65
2024,10,17468458.52,997565.0506,20115575.98,2011557.598,2405018.6,1661805.84
2024,11,17095646.45,976926.44375,18973752.63,1897375.263,1933979.06,1508155.28
2024,12,33466316.05,1907710.0975,22202296.06,2220229.606,2045358.6,1840396.58
2025,1,16712091.11,955463.55305,18451558.45,1845155.845,2181880.35,1471526.94
2025,2,15813776.06,903925.66255,17344087.77,1734408.777,1798171.73,1569427.19
2025,3,28980788.06,1653150.90855,20171660.54,2017166.054,1720658.76,1473291.12
2025,4,17644783.34,1007415.17895,18814228.59,1881422.859,2058739.09,1323417.82
2025,5,17829106.62,1018457.8626,20183494.33,2018349.433,1853509.08,1682937.67
2025,6,30220052.11,1721111.93405,21574768.16,2157476.816,2227243.19,1480088.74
2025,7,18564803.59,1062569.53295,22576960.2,2257696.02,2176519.83,1442880.65
2025,8,18649381.5,1068564.6225,23192465.98,2319246.598,2312990.06,1580776.9
2025,9,29455622.54,1678109.23495,22229075.3,2222907.53,2307203.93,1722984.98
2025,10,20400888.8,1165779.53575,21116810.31,2111681.031,2235597.42,1705506.62
2025,11,18891554.87,1080132.91085,19091922.89,1909192.289,1988137.99,1632944.08
2025,12,22840207.43,1303279.66415,21354922.42,2135492.242,1987477.34,1473493.65
2026,1,18855018.31,1077654.42755,18845398.38,2638355.7732,2056883.91,1305428.42
2026,2,17993154.74,1028888.25745,17725441.62,2481561.8268,2609524.1,1173259.15
2026,3,20551288.43,1172917.7294,19196031.28,2687444.3792,2486585.07,1050274.49
2026,4,19313410.96,1103191.46005,19135400.51,2678956.0714,2605577.45,1089319.75
2026,5,18916692.79,1079043.5192,20283005.06,2839620.7084,2744931.97,1097908.09
