"LICENSE","LICENSE_TYPE","LICENSE_NAME","DBA","LICENSE_STATUS","LICENSE_CITY","WEBSITE","CONTACT_NAME","CONTACT_TYPE","CONTACT_CITY","CONTACT_DESCRIPTION"
"DSP101","Dispensary","REMEDY COMPASSION CENTER, INC.","CURALEAF WELLS","Active","Wells","www.curaleaf.com","EDWARD KREMER","Officer","Auburn","Secretary, Treasurer And Director"
"DSP105","Dispensary","PRIMARY ORGANIC THERAPY, INC.","MAINE ORGANIC THERAPY; CURALEAF MAINE","Active","Ellsworth","www.curaleaf.com","EDWARD KREMER","Officer","Auburn","Secretary Treasurer And Director"
"DSP133","Dispensary","AMSBURY HOLDINGS MEDICAL 2, INC.","CURALEAF MEDICAL AUBURN","Active","Auburn","www.curaleaf.com","EDWARD KREMER","Officer","Auburn","Secretary, Treasurer And Director"
"DSP146","Dispensary","AMSBURY HOLDINGS MEDICAL 3, INC.","CURALEAF MEDICAL BANGOR","Active","Bangor","www.curaleaf.com","EDWARD KREMER","Officer","Auburn","Secretary, Treasurer And Director"
"DSP101","Dispensary","REMEDY COMPASSION CENTER, INC.","CURALEAF WELLS","Active","Wells","www.curaleaf.com","ROBERT JOSEPH SCIARRONE","Officer","Auburn","President And Director"
"DSP105","Dispensary","PRIMARY ORGANIC THERAPY, INC.","MAINE ORGANIC THERAPY; CURALEAF MAINE","Active","Ellsworth","www.curaleaf.com","ROBERT JOSEPH SCIARRONE","Officer","Auburn","President And Director"
"DSP133","Dispensary","AMSBURY HOLDINGS MEDICAL 2, INC.","CURALEAF MEDICAL AUBURN","Active","Auburn","www.curaleaf.com","ROBERT JOSEPH SCIARRONE","Officer","Auburn","President And Director"
"DSP146","Dispensary","AMSBURY HOLDINGS MEDICAL 3, INC.","CURALEAF MEDICAL BANGOR","Active","Bangor","www.curaleaf.com","ROBERT JOSEPH SCIARRONE","Officer","Auburn","President And Director"
"DSP101","Dispensary","REMEDY COMPASSION CENTER, INC.","CURALEAF WELLS","Active","Wells","www.curaleaf.com","CLF MAINE, INC.","Owner","","Business Owner"
"DSP105","Dispensary","PRIMARY ORGANIC THERAPY, INC.","MAINE ORGANIC THERAPY; CURALEAF MAINE","Active","Ellsworth","www.curaleaf.com","CLF MAINE, INC.","Owner","","Business Owner"
"DSP133","Dispensary","AMSBURY HOLDINGS MEDICAL 2, INC.","CURALEAF MEDICAL AUBURN","Active","Auburn","www.curaleaf.com","CLF MAINE, INC.","Owner","","Business Owner"
"DSP146","Dispensary","AMSBURY HOLDINGS MEDICAL 3, INC.","CURALEAF MEDICAL BANGOR","Active","Bangor","www.curaleaf.com","CLF MAINE, INC.","Owner","","Business Owner"
"DSP104","Dispensary","SAFE ALTERNATIVES","","Active","Caribou","www.safealternativesmaine.com","NICHOLAS J MASTERPOL III","Officer","Windham","Vp Of Operations/President"
"DSP158","Dispensary","UPSTATE  GARDENS LLC","","Active","Lewiston","","NICHOLAS J MASTERPOL III","Officer","Windham","Owner/Partner/Operator"
"DSP104","Dispensary","SAFE ALTERNATIVES","","Active","Caribou","www.safealternativesmaine.com","KAYLA L BOSSE","Officer","Caribou","Secretary/General Manager"
"DSP104","Dispensary","SAFE ALTERNATIVES","","Active","Caribou","www.safealternativesmaine.com","DEREK ROBERT BOSSE","Officer","Caribou","Retail Manager"
