reporting_period,value,unit,product_category_raw,metric_raw,preliminary
2020,4278391.19,USD,total,Sales Revenue Annual Trend,true
2021,81967831.15,USD,total,Sales Revenue Annual Trend,true
2022,158902699.62,USD,total,Sales Revenue Annual Trend,true
2023,216934352.78,USD,total,Sales Revenue Annual Trend,true
2024,243916065.53,USD,total,Sales Revenue Annual Trend,true
2025,246817324.82,USD,total,Sales Revenue Annual Trend,true
2025-07-01,23308739.79,USD,total,Sales Revenue Month Over Month,true
2025-08-01,24009813.89,USD,total,Sales Revenue Month Over Month,true
2025-09-01,21284804.6,USD,total,Sales Revenue Month Over Month,true
2025-10-01,21368398.84,USD,total,Sales Revenue Month Over Month,true
2025-11-01,19258269.12,USD,total,Sales Revenue Month Over Month,true
2025-12-01,20101116.21,USD,total,Sales Revenue Month Over Month,true
2026,119954201.72,USD,total,Sales Revenue Annual Trend,true
2026-01-01,18904111.06,USD,total,Sales Revenue Month Over Month,true
2026-02-01,17768383.74,USD,total,Sales Revenue Month Over Month,true
2026-03-01,19169432.75,USD,total,Sales Revenue Month Over Month,true
2026-04-01,19176106.28,USD,total,Sales Revenue Month Over Month,true
2026-05-01,20310064.1,USD,total,Sales Revenue Month Over Month,true
2026-06-01,20688125.36,USD,total,Sales Revenue Month Over Month,true
2026-06-01,20688125,USD,total,KPI Sales Amount June 2026,true
