reporting_period,value,unit,product_category_raw,metric_raw,preliminary
2020,62459,transactions,total,Sales Transactions Annual,true
2021,1118200,transactions,total,Sales Transactions Annual,true
2022,2477671,transactions,total,Sales Transactions Annual,true
2023,3774710,transactions,total,Sales Transactions Annual,true
2024,4560253,transactions,total,Sales Transactions Annual,true
2025,4845476,transactions,total,Sales Transactions Annual,true
2025-07-01,454315,transactions,total,Sales Transactions Month Over Month,true
2025-07-01,316981,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2025-07-01,565,transactions,Plants,Sales Transactions By Product Category,true
2025-07-01,85429,transactions,Infused Product,Sales Transactions By Product Category,true
2025-07-01,146830,transactions,Concentrate,Sales Transactions By Product Category,true
2025-08-01,468032,transactions,total,Sales Transactions Month Over Month,true
2025-08-01,313046,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2025-08-01,934,transactions,Plants,Sales Transactions By Product Category,true
2025-08-01,83624,transactions,Infused Product,Sales Transactions By Product Category,true
2025-08-01,144064,transactions,Concentrate,Sales Transactions By Product Category,true
2025-09-01,427095,transactions,total,Sales Transactions Month Over Month,true
2025-09-01,295971,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2025-09-01,506,transactions,Plants,Sales Transactions By Product Category,true
2025-09-01,82427,transactions,Infused Product,Sales Transactions By Product Category,true
2025-09-01,137264,transactions,Concentrate,Sales Transactions By Product Category,true
2025-10-01,426431,transactions,total,Sales Transactions Month Over Month,true
2025-10-01,285392,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2025-10-01,181,transactions,Plants,Sales Transactions By Product Category,true
2025-10-01,78383,transactions,Infused Product,Sales Transactions By Product Category,true
2025-10-01,136851,transactions,Concentrate,Sales Transactions By Product Category,true
2025-11-01,383240,transactions,total,Sales Transactions Month Over Month,true
2025-11-01,259432,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2025-11-01,78,transactions,Plants,Sales Transactions By Product Category,true
2025-11-01,74775,transactions,Infused Product,Sales Transactions By Product Category,true
2025-11-01,125000,transactions,Concentrate,Sales Transactions By Product Category,true
2025-12-01,390090,transactions,total,Sales Transactions Month Over Month,true
2025-12-01,277877,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2025-12-01,23,transactions,Plants,Sales Transactions By Product Category,true
2025-12-01,79359,transactions,Infused Product,Sales Transactions By Product Category,true
2025-12-01,131281,transactions,Concentrate,Sales Transactions By Product Category,true
2026,2439811,transactions,total,Sales Transactions Annual,true
2026-01-01,378800,transactions,total,Sales Transactions Month Over Month,true
2026-01-01,287237,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2026-01-01,86,transactions,Plants,Sales Transactions By Product Category,true
2026-01-01,86237,transactions,Infused Product,Sales Transactions By Product Category,true
2026-01-01,138757,transactions,Concentrate,Sales Transactions By Product Category,true
2026-02-01,354236,transactions,total,Sales Transactions Month Over Month,true
2026-02-01,285974,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2026-02-01,41,transactions,Plants,Sales Transactions By Product Category,true
2026-02-01,81825,transactions,Infused Product,Sales Transactions By Product Category,true
2026-02-01,131673,transactions,Concentrate,Sales Transactions By Product Category,true
2026-03-01,390030,transactions,total,Sales Transactions Month Over Month,true
2026-03-01,320567,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2026-03-01,41,transactions,Plants,Sales Transactions By Product Category,true
2026-03-01,90139,transactions,Infused Product,Sales Transactions By Product Category,true
2026-03-01,143423,transactions,Concentrate,Sales Transactions By Product Category,true
2026-04-01,393991,transactions,total,Sales Transactions Month Over Month,true
2026-04-01,328417,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2026-04-01,70,transactions,Plants,Sales Transactions By Product Category,true
2026-04-01,87736,transactions,Infused Product,Sales Transactions By Product Category,true
2026-04-01,138066,transactions,Concentrate,Sales Transactions By Product Category,true
2026-05-01,420141,transactions,total,Sales Transactions Month Over Month,true
2026-05-01,361318,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2026-05-01,71,transactions,Plants,Sales Transactions By Product Category,true
2026-05-01,105376,transactions,Infused Product,Sales Transactions By Product Category,true
2026-05-01,149157,transactions,Concentrate,Sales Transactions By Product Category,true
2026-06-01,425839,transactions,total,Sales Transactions Month Over Month,true
2026-06-01,352369,transactions,Usable Cannabis,Sales Transactions By Product Category,true
2026-06-01,142,transactions,Plants,Sales Transactions By Product Category,true
2026-06-01,103894,transactions,Infused Product,Sales Transactions By Product Category,true
2026-06-01,145622,transactions,Concentrate,Sales Transactions By Product Category,true
2026-06-01,425839,transactions,total,KPI Number of Sales Transactions June 2026,true
