license_id,legal_name,dba,license_type_raw,license_status,street_address_raw,city_raw,geoid,county_raw,website_raw,has_website,contact_email,contact_phone,issue_date,first_issue_date,price_capture_status
AMS102,ORIGINS CANNABIS COMPANY LLC,,Store,Active,884 Western Ave,Manchester,2301143080,Kennebec,https://originsmaine.com,true,originsmaine420@gmail.com,+1 (207) 557-2225,12-MAR-26,12-MAR-21,not_attempted
AMS1027,"ROCK STEADY, LLC",ROCK STEADY,Store,Active,1139 Stillwater Ave Unit A,Bangor,2301902795,Penobscot,,false,emilyeer@gmail.com,+1 (207) 509-8415,04-MAY-26,04-MAY-23,not_attempted
AMS110,SEA LEVEL WEED CO.,,Store,Active,23 Marginal Way,Portland,2300560545,Cumberland,https://seaweedmaine.com/,true,malina.dumas@dentons.com,+1 (207) 835-4355,10-MAR-26,10-MAR-21,not_attempted
AMS1133,"BROTHERS BREWER, LLC",BROTHERS,Store,Active,484b Wilson St,Brewer,2301906925,Penobscot,,false,greg7314@aol.com,+1 (207) 852-0575,08-APR-26,08-APR-22,not_attempted
AMS1162,"SQUARE ONE, LLC",JUST BAKED,Store,Active,115 W Broadway Unit 2b,Lincoln,2301939475,Penobscot,,false,square1me@gmail.com,+1 (833) 422-6550,12-APR-26,12-APR-22,not_attempted
AMS117,MYSTIQUE RETAIL LLC,MYSTIQUE OF MAINE,Store,Active,745 Forest Ave,Portland,2300560545,Cumberland,,false,malina.dumas@dentons.com,+1 (207) 835-4355,29-APR-26,29-APR-21,not_attempted
AMS1180,"LNI, LLC",RIVER DRIVER CANNABIS CO.,Store,Active,8 Main St,Lisbon,2300140035,Androscoggin,,false,lisa@riverdrivercc.com,+1 (207) 615-5394,22-JUN-26,22-JUN-22,not_attempted
AMS1182,VERTIKAL RETAIL GROUP LLC,THE JOINT.ME,Store,Active,1140 Brighton Ave Ste C,Portland,2300560545,Cumberland,https://thejoint.me/,true,jgcohen@verrill-law.com,+1 (207) 253-4834,21-DEC-25,21-DEC-22,not_attempted
AMS1183,NORTH COUNTRY CANNABIS ME LLC,NORTH COUNTRY CANNABIS ME,Store,Active,1 Wiggin St,Lebanon,2303138425,York,,false,eric@northcountrycannabisme.com,+1 (603) 817-5333,02-MAY-26,02-MAY-22,not_attempted
AMS1184,"PINE TREE MAINE 5, LLC",LANDRACE CANNABIS,Store,Active,97 Main St,Woolwich,2302387460,Sagadahoc,www.landracecanna.com,true,lindsay@landracecanna.com,+1 (207) 807-5641,09-JAN-26,09-JAN-23,not_attempted
