geoid,census_name,display_name,population,acs_vintage,data_as_of
2300119105,"Durham town, Androscoggin County, Maine",Durham town,4262,2024,
2300129255,"Greene town, Androscoggin County, Maine",Greene town,4417,2024,
2300138565,"Leeds town, Androscoggin County, Maine",Leeds town,2285,2024,
2300140665,"Livermore town, Androscoggin County, Maine",Livermore town,1868,2024,
2300140770,"Livermore Falls town, Androscoggin County, Maine",Livermore Falls town,3102,2024,
2300146160,"Minot town, Androscoggin County, Maine",Minot town,2794,2024,
2300164570,"Sabattus town, Androscoggin County, Maine",Sabattus town,5116,2024,
2300179585,"Wales town, Androscoggin County, Maine",Wales town,1924,2024,
2300300800,"Allagash town, Aroostook County, Maine",Allagash town,224,2024,
2300301220,"Amity town, Aroostook County, Maine",Amity town,395,2024,
2300301710,"Ashland town, Aroostook County, Maine",Ashland town,1080,2024,
2300302762,"Bancroft UT, Aroostook County, Maine",Bancroft UT,78,2024,
2300305385,"Blaine town, Aroostook County, Maine",Blaine town,706,2024,
2300307065,"Bridgewater town, Aroostook County, Maine",Bridgewater town,484,2024,
2300310565,"Caribou city, Aroostook County, Maine",Caribou city,7382,2024,
2300311300,"Castle Hill town, Aroostook County, Maine",Castle Hill town,281,2024,
2300311335,"Caswell town, Aroostook County, Maine",Caswell town,243,2024,
2300311785,"Central Aroostook UT, Aroostook County, Maine",Central Aroostook UT,268,2024,
2300312000,"Chapman town, Aroostook County, Maine",Chapman town,388,2024,
2300313900,"Connor UT, Aroostook County, Maine",Connor UT,440,2024,
2300315395,"Crystal town, Aroostook County, Maine",Crystal town,247,2024,
2300315990,"Cyr plantation, Aroostook County, Maine",Cyr plantation,59,2024,
2300319210,"Dyer Brook town, Aroostook County, Maine",Dyer Brook town,275,2024,
2300319420,"Eagle Lake town, Aroostook County, Maine",Eagle Lake town,570,2024,
2300321380,"Easton town, Aroostook County, Maine",Easton town,1433,2024,
2300325615,"Fort Fairfield town, Aroostook County, Maine",Fort Fairfield town,3309,2024,
2300325755,"Fort Kent town, Aroostook County, Maine",Fort Kent town,4150,2024,
2300326735,"Frenchville town, Aroostook County, Maine",Frenchville town,971,2024,
2300327120,"Garfield plantation, Aroostook County, Maine",Garfield plantation,77,2024,
2300327855,"Glenwood plantation, Aroostook County, Maine",Glenwood plantation,6,2024,
2300328590,"Grand Isle town, Aroostook County, Maine",Grand Isle town,407,2024,
2300330690,"Hamlin town, Aroostook County, Maine",Hamlin town,111,2024,
2300330725,"Hammond town, Aroostook County, Maine",Hammond town,65,2024,
2300332195,"Haynesville town, Aroostook County, Maine",Haynesville town,131,2024,
2300332685,"Hersey town, Aroostook County, Maine",Hersey town,47,2024,
2300333385,"Hodgdon town, Aroostook County, Maine",Hodgdon town,1428,2024,
2300333980,"Houlton town, Aroostook County, Maine",Houlton town,6056,2024,
2300335065,"Island Falls town, Aroostook County, Maine",Island Falls town,768,2024,
2300339300,"Limestone town, Aroostook County, Maine",Limestone town,1579,2024,
2300339965,"Linneus town, Aroostook County, Maine",Linneus town,1226,2024,
2300340595,"Littleton town, Aroostook County, Maine",Littleton town,887,2024,
2300341715,"Ludlow town, Aroostook County, Maine",Ludlow town,444,2024,
2300342450,"Macwahoc plantation, Aroostook County, Maine",Macwahoc plantation,79,2024,
2300342520,"Madawaska town, Aroostook County, Maine",Madawaska town,3853,2024,
2300343255,"Mapleton town, Aroostook County, Maine",Mapleton town,1884,2024,
2300343710,"Mars Hill town, Aroostook County, Maine",Mars Hill town,1398,2024,
2300343990,"Masardis town, Aroostook County, Maine",Masardis town,258,2024,
2300345180,"Merrill town, Aroostook County, Maine",Merrill town,372,2024,
2300346685,"Monticello town, Aroostook County, Maine",Monticello town,674,2024,
2300347175,"Moro plantation, Aroostook County, Maine",Moro plantation,10,2024,
2300348120,"Nashville plantation, Aroostook County, Maine",Nashville plantation,12,2024,
2300348575,"New Canada town, Aroostook County, Maine",New Canada town,449,2024,
2300348960,"New Limerick town, Aroostook County, Maine",New Limerick town,372,2024,
2300349415,"New Sweden town, Aroostook County, Maine",New Sweden town,494,2024,
2300353602,"Northwest Aroostook UT, Aroostook County, Maine",Northwest Aroostook UT,5,2024,
2300354385,"Oakfield town, Aroostook County, Maine",Oakfield town,629,2024,
2300355435,"Orient town, Aroostook County, Maine",Orient town,137,2024,
2300357936,"Penobscot Indian Island Reservation, Aroostook County, Maine",Penobscot Indian Island Reservation,,2024,
2300358060,"Perham town, Aroostook County, Maine",Perham town,326,2024,
2300360300,"Portage Lake town, Aroostook County, Maine",Portage Lake town,374,2024,
2300362400,"Reed plantation, Aroostook County, Maine",Reed plantation,105,2024,
2300364780,"St. Agatha town, Aroostook County, Maine",St. Agatha town,842,2024,
2300365025,"St. Francis town, Aroostook County, Maine",St. Francis town,400,2024,
2300365200,"St. John plantation, Aroostook County, Maine",St. John plantation,180,2024,
2300367790,"Sherman town, Aroostook County, Maine",Sherman town,947,2024,
2300369260,"Smyrna town, Aroostook County, Maine",Smyrna town,380,2024,
2300369930,"South Aroostook UT, Aroostook County, Maine",South Aroostook UT,767,2024,
2300373472,"Square Lake UT, Aroostook County, Maine",Square Lake UT,751,2024,
2300374405,"Stockholm town, Aroostook County, Maine",Stockholm town,222,2024,
2300378570,"Van Buren town, Aroostook County, Maine",Van Buren town,1858,2024,
2300379270,"Wade town, Aroostook County, Maine",Wade town,244,2024,
2300379865,"Wallagrass town, Aroostook County, Maine",Wallagrass town,514,2024,
2300380285,"Washburn town, Aroostook County, Maine",Washburn town,1355,2024,
2300382770,"Westfield town, Aroostook County, Maine",Westfield town,389,2024,
2300383540,"Westmanland town, Aroostook County, Maine",Westmanland town,108,2024,
2300383785,"Weston town, Aroostook County, Maine",Weston town,275,2024,
2300386865,"Winterville plantation, Aroostook County, Maine",Winterville plantation,248,2024,
2300387215,"Woodland town, Aroostook County, Maine",Woodland town,1196,2024,
2300502655,"Baldwin town, Cumberland County, Maine",Baldwin town,1170,2024,
2300510180,"Cape Elizabeth town, Cumberland County, Maine",Cape Elizabeth town,9606,2024,
2300512300,"Chebeague Island town, Cumberland County, Maine",Chebeague Island town,555,2024,
2300515430,"Cumberland town, Cumberland County, Maine",Cumberland town,8647,2024,
2300524495,"Falmouth town, Cumberland County, Maine",Falmouth town,12755,2024,
2300526525,"Freeport town, Cumberland County, Maine",Freeport town,8802,2024,
2300527025,"Frye Island town, Cumberland County, Maine",Frye Island town,34,2024,
2300528240,"Gorham town, Cumberland County, Maine",Gorham town,18300,2024,
2300528870,"Gray town, Cumberland County, Maine",Gray town,8429,2024,
2300531390,"Harpswell town, Cumberland County, Maine",Harpswell town,5046,2024,
2300531600,"Harrison town, Cumberland County, Maine",Harrison town,2513,2024,
2300541067,"Long Island town, Cumberland County, Maine",Long Island town,249,2024,
2300548085,"Naples town, Cumberland County, Maine",Naples town,3985,2024,
2300548820,"New Gloucester town, Cumberland County, Maine",New Gloucester town,5766,2024,
2300553860,"North Yarmouth town, Cumberland County, Maine",North Yarmouth town,4240,2024,
2300560685,"Pownal town, Cumberland County, Maine",Pownal town,1696,2024,
2300561945,"Raymond town, Cumberland County, Maine",Raymond town,4610,2024,
2300566145,"Scarborough town, Cumberland County, Maine",Scarborough town,23215,2024,
2300566775,"Sebago town, Cumberland County, Maine",Sebago town,2073,2024,
2300573670,"Standish town, Cumberland County, Maine",Standish town,10662,2024,
2300582105,"Westbrook city, Cumberland County, Maine",Westbrook city,20775,2024,
2300587845,"Yarmouth town, Cumberland County, Maine",Yarmouth town,9053,2024,
2300702235,"Avon town, Franklin County, Maine",Avon town,359,2024,
2300710915,"Carthage town, Franklin County, Maine",Carthage town,845,2024,
2300712595,"Chesterville town, Franklin County, Maine",Chesterville town,1397,2024,
2300714205,"Coplin plantation, Franklin County, Maine",Coplin plantation,51,2024,
2300716165,"Dallas plantation, Franklin County, Maine",Dallas plantation,220,2024,
2300719865,"East Central Franklin UT, Franklin County, Maine",East Central Franklin UT,1074,2024,
2300724005,"Eustis town, Franklin County, Maine",Eustis town,453,2024,
2300734820,"Industry town, Franklin County, Maine",Industry town,988,2024,
2300735625,"Jay town, Franklin County, Maine",Jay town,4657,2024,
2300737025,"Kingfield town, Franklin County, Maine",Kingfield town,820,2024,
2300749345,"New Sharon town, Franklin County, Maine",New Sharon town,1550,2024,
2300749520,"New Vineyard town, Franklin County, Maine",New Vineyard town,607,2024,
2300751400,"North Franklin UT, Franklin County, Maine",North Franklin UT,13,2024,
2300758445,"Phillips town, Franklin County, Maine",Phillips town,1094,2024,
2300761840,"Rangeley town, Franklin County, Maine",Rangeley town,792,2024,
2300761875,"Rangeley plantation, Franklin County, Maine",Rangeley plantation,81,2024,
2300765655,"Sandy River plantation, Franklin County, Maine",Sandy River plantation,90,2024,
2300770760,"South Franklin UT, Franklin County, Maine",South Franklin UT,120,2024,
2300774825,"Strong town, Franklin County, Maine",Strong town,1249,2024,
2300775980,"Temple town, Franklin County, Maine",Temple town,824,2024,
2300781300,"Weld town, Franklin County, Maine",Weld town,459,2024,
2300782235,"West Central Franklin UT, Franklin County, Maine",West Central Franklin UT,,2024,
