geoid,municipality_raw,municipality_normalized,optin_for_adult_use_cannabis,active_adult_use_cannabis_store_licenses,is_optin_gap
2300102060,Auburn,Auburn,true,7,false
2300138740,,,,8,false
2300140035,,,,1,false
2300144585,,,,1,false
2300160020,,,,2,false
2300177800,,,,3,false
2300360825,,,,1,false
2300507170,Bridgton,Bridgton,true,3,false
2300508430,Brunswick,Brunswick,true,3,false
2300511125,Casco,Casco,true,2,false
2300560545,,,,27,false
2300571990,,,,11,false
2300586025,,,,2,false
2300710740,CarrabassettValley,Carrabassett Valley,true,2,false
2300724005,,,,1,false
2300724775,,,,2,false
2300908815,Bucksport,Bucksport,true,1,false
2300972865,,,,1,false
2301102100,Augusta,Augusta,true,5,false
2301112350,Chelsea,Chelsea,true,1,false
2301127085,,,,3,false
2301130550,,,,1,false
2301143080,,,,3,false
2301163835,,,,1,false
2301180740,,,,6,false
2301186515,,,,1,false
2301363590,,,,4,false
2301376365,,,,2,false
2301380215,,,,1,false
2301506050,Boothbay,Boothbay,true,1,false
2301516235,Damariscotta,Damariscotta,true,2,false
2301569645,,,,1,false
2301587075,,,,1,false
2301704825,Bethel,Bethel,true,3,false
2301726910,,,,1,false
2301749275,,,,2,false
2301756310,,,,4,false
2301758270,,,,1,false
2301783890,,,,1,false
2301902795,Bangor,Bangor,true,10,false
2301906925,Brewer,Brewer,true,3,false
2301939475,,,,2,false
2301945005,,,,1,false
2301949065,,,,2,false
2301955565,,,,1,false
2302129535,,,,1,false
2302130095,,,,1,false
2302146020,,,,2,false
2302303355,Bath,Bath,true,2,false
2302306365,Bowdoinham,Bowdoinham,true,0,true
2302387460,,,,2,false
2302517460,,,,1,false
2302524320,,,,1,false
2302569505,,,,1,false
2302752845,,,,2,false
2302902970,BaringPlantation,Baring Plantation,true,2,false
2302913750,Columbia,Columbia,true,2,false
2303104720,Berwick,Berwick,true,3,false
2303104860,Biddeford,Biddeford,true,3,false
2303122955,,,,6,false
2303133665,,,,2,false
2303137270,,,,2,false
2303138425,,,,5,false
2303155085,,,,1,false
2303156870,,,,2,false
2303165725,,,,4,false
